T,AI2_filter1
0,2.77486055413491E-21
1,1.95703573063868E-06
2,3.78039145049756E-06
3,7.21705008305123E-07
4,-4.20173130286294E-06
5,-9.51041090498578E-07
6,8.28022557762625E-06
7,6.51570878531853E-06
8,-8.42021326884306E-06
9,-1.19080024184142E-05
10,8.30978644163728E-06
11,2.08434730350843E-05
12,-3.05789522803259E-06
13,-2.96271101821981E-05
14,-6.84368751776474E-06
15,3.74430106192743E-05
16,2.30198454217118E-05
17,-4.10008304014968E-05
18,-4.52293684921317E-05
19,3.682426535597E-05
20,7.17226187576192E-05
21,-2.23134628857109E-05
22,-0.000101741220366977
23,-9.28971694066298E-06
24,0.000126011823340738
25,5.58230923093734E-05
26,-0.000142549654363715
27,-0.00012306215048735
28,0.000139338366239499
29,0.000208038694438674
30,-0.000109530559580376
31,-0.000313668178184525
32,3.87037164227239E-05
33,0.000445501771142634
34,9.64293324446998E-05
35,-0.000629771324100919
36,-0.000352801799983713
37,0.00100674833225562
38,0.000969849588281802
39,-0.00318315386656334
40,-0.0108448072183668
41,-0.0179384199422753
42,-0.0208313546562264
43,-0.01968646899468
44,-0.0174157202776079
45,-0.0160660294764165
46,-0.0152217219335726
47,-0.0136373074918272
48,-0.0111741314624078
49,-0.00866538476529171
50,-0.00668006335138823
51,-0.00513853666781727
52,-0.00380352779027098
53,-0.00254046576116205
54,-0.00125528473252996
55,-9.82772066627587E-05
56,0.000411351913235548
57,9.45717166796471E-05
58,-2.06793907875357E-05
59,0.0017283301934177
60,0.00574414476728883
61,0.0102476451897162
62,0.0127882807803492
63,0.0125709985137347
64,0.0109048075458636
65,0.00949257750432709
66,0.00878933103812397
67,0.00808860599513171
68,0.00667178899227625
69,0.00450466862229675
70,0.0020682396259926
71,-0.00010754394117861
72,-0.00178680682249067
73,-0.00313570067638274
74,-0.00444085163503572
75,-0.00559008999556947
76,-0.00607426783505884
77,-0.00587668124610072
78,-0.00619116971563293
79,-0.00859005880991398
80,-0.013155337219679
81,-0.0178504766426793
82,-0.0202474124845726
83,-0.0197696056211906
84,-0.0178821607364896
85,-0.0162179505158654
86,-0.0150400256208028
87,-0.0136106450973238
88,-0.0114888680890677
89,-0.00902100610191603
90,-0.00680134456693848
91,-0.0051013189323961
92,-0.00380699343205912
93,-0.00262404148532734
94,-0.00136036099953562
95,-0.000239277092640539
96,0.000184440499058053
97,-0.000179114587106824
98,-0.000249834170658837
99,0.00156222272693267
100,0.00559332982507272
101,0.0101060981307641
102,0.0127008956356838
103,0.0125283182436509
104,0.0108111355354512
105,0.0092823495928962
106,0.00852997436555184
107,0.00791495388643726
108,0.00662715492480327
109,0.00448398916850116
110,0.00193267517921003
111,-0.000374926137500981
112,-0.00206097158782665
113,-0.00328409821046084
114,-0.00444688273076691
115,-0.00552039117703365
116,-0.00595929018676895
117,-0.0056930956844265
118,-0.00597332115079124
119,-0.0084794290123125
120,-0.0132638645160259
121,-0.0180999883407513
122,-0.0204227514187761
123,-0.0197481324010792
124,-0.0177492117439622
125,-0.0161307502149705
126,-0.0150331613394409
127,-0.0135844361367697
128,-0.0113556131362304
129,-0.00880153794247022
130,-0.00657874399828079
131,-0.00493138087425546
132,-0.00369052051724416
133,-0.00252857649924985
134,-0.00124143461796577
135,-6.23587862376536E-05
136,0.000414234343889792
137,6.13247416853634E-05
138,-2.34450453602713E-05
139,0.00180481184830204
140,0.0058855165080704
141,0.0104020319873586
142,0.0129000426825929
143,0.0126115971418034
144,0.0109050091733708
145,0.00951992674280341
146,0.00885431252359649
147,0.00809850977535913
148,0.00653053023356762
149,0.00424663805703661
150,0.00184235770350736
151,-0.000187862412276685
152,-0.00173741892909376
153,-0.00304597657149498
154,-0.00436908307306911
155,-0.00552794048484653
156,-0.00598536653519873
157,-0.00575801952249103
158,-0.00611467871662234
159,-0.00867248830066092
160,-0.0134359157879281
161,-0.0181917694933915
162,-0.0204233239612418
163,-0.019699023599543
164,-0.0177247303012935
165,-0.0161827270851349
166,-0.0151398526622519
167,-0.0136828223341691
168,-0.0114343987358762
169,-0.00891683837474894
170,-0.006753222332326
171,-0.00509472167345762
172,-0.00378177988858645
173,-0.00261954044172911
174,-0.00146673863167153
175,-0.000421792339102757
176,9.24134317410256E-05
177,-8.50714159264753E-05
178,-6.20078765734634E-05
179,0.0017053629950768
180,0.00568466368875771
181,0.010219201457708
182,0.0128192932383461
183,0.0125499707253138
184,0.0107271607019415
185,0.0092294204419197
186,0.00859979051512414
187,0.00799407469797606
188,0.00652136766233969
189,0.00416804337742146
190,0.00158057458654506
191,-0.000611087121516049
192,-0.00221358433847885
193,-0.00347504465408808
194,-0.00470289324081662
195,-0.00575799694457083
196,-0.0061316530912693
197,-0.00587742134369513
198,-0.00628657056613168
199,-0.00893749234849213
200,-0.0137478812340766
201,-0.0184562082062294
202,-0.0205921438514152
203,-0.0198078649805616
204,-0.0178318128661956
205,-0.0162974400035441
206,-0.0152286899812657
207,-0.0137194357211806
208,-0.0114139215827832
209,-0.00884197384285818
210,-0.00664895164252906
211,-0.00502764881707726
212,-0.0038106580325073
213,-0.00271156733194621
214,-0.00151369894770954
215,-0.000370340650207942
216,0.000173206285701708
217,-5.42706177863541E-05
218,-2.97399519601237E-05
219,0.00186619218241013
220,0.00597647690993878
221,0.0104627852474563
222,0.0128517561329655
223,0.0124248197113624
224,0.0106456587851511
225,0.00929455894616235
226,0.00871927754866664
227,0.00803979847263441
228,0.0065087765793094
229,0.00422350080679067
230,0.00177111877393615
231,-0.000351266588674976
232,-0.00199387848525536
233,-0.00334154664578883
234,-0.00463748674960958
235,-0.00574016909162733
236,-0.00616175357384849
237,-0.00594593963843898
238,-0.00634916575030889
239,-0.00893558990885033
240,-0.0136526070904936
241,-0.0182890576741369
242,-0.0203981141223753
243,-0.0196089034134366
244,-0.0176161625459544
245,-0.016059111342215
246,-0.0149971230029512
247,-0.0135266781631173
248,-0.0112477795526835
249,-0.00866557896518285
250,-0.00645827135482622
251,-0.00484088798297832
252,-0.00359864827675784
253,-0.00241417878333722
254,-0.0011691869564922
255,-0.000156550468250817
256,0.00012284111405695
257,-0.000256552744930714
258,-0.00011732563985645
259,0.0020015762396123
260,0.00616156396028984
261,0.0104815633117838
262,0.0127165818455603
263,0.0123225983473761
264,0.0106761293851254
265,0.00938277258140664
266,0.0087728468069922
267,0.00806812085875685
268,0.0065479710299272
269,0.00424513480081334
270,0.00174123271690311
271,-0.000384798218198831
272,-0.00195669175066055
273,-0.00324821889708229
274,-0.00457412296791681
275,-0.00573864073674701
276,-0.00616552053991321
277,-0.00591772954659773
278,-0.00634930219461167
279,-0.00904974071829493
280,-0.0138724837276645
281,-0.0185054542765337
282,-0.0205072590887045
283,-0.0196006998629336
284,-0.0175591302675006
285,-0.0160194314756316
286,-0.0149855153390541
287,-0.0135219030960956
288,-0.0112533452303943
289,-0.00871651009191982
290,-0.0065647366212326
291,-0.00495550120188754
