T,AI2_filter1
0,0
1,-6.93715138533728E-23
2,-4.89258932659671E-08
3,-1.20195880227072E-07
4,-4.93346113092615E-07
5,-1.6509800610482E-06
6,-1.64904582675938E-06
7,9.00504332065837E-07
8,2.08568817795967E-06
9,-1.67256163844325E-06
10,-4.97363891576101E-06
11,-5.27608189939038E-07
12,6.41313103787532E-06
13,3.16849106302837E-06
14,-7.96718947204444E-06
15,-7.62743154466807E-06
16,8.26089817208177E-06
17,1.41910136228525E-05
18,-5.07420829836163E-06
19,-2.03433302555993E-05
20,-4.20724732101621E-07
21,2.72438880307605E-05
22,1.1622299600826E-05
23,-3.00652417826259E-05
24,-2.45891662291813E-05
25,3.19021296716812E-05
26,4.54001439164194E-05
27,-2.27530610216472E-05
28,-6.46558340667269E-05
29,7.89466258488892E-06
30,8.73364791841618E-05
31,2.20463527509912E-05
32,-0.000103963087669571
33,-6.39673017558328E-05
34,0.00011501599599131
35,0.000124604749934179
36,-0.000112916639108451
37,-0.000208795210652997
38,9.28533126148115E-05
39,0.000337356736344806
40,-2.35089810440337E-05
41,-0.000389595836117809
42,0.000904142092929075
43,0.0046909105765027
44,0.00946707070928673
45,0.0124756511248262
46,0.0124030514295133
47,0.0105302055553504
48,0.00905423298664842
49,0.00874325962814882
50,0.00858020117567484
51,0.00732567620228857
52,0.00485260391320029
53,0.00199061662448137
54,-0.000423815317480076
55,-0.00214045895051086
56,-0.00343823066435703
57,-0.00468695494761122
58,-0.00585996375849657
59,-0.00649717927172256
60,-0.00644720277389673
61,-0.00666691993050781
62,-0.00872888975019651
63,-0.0130472960818266
64,-0.0178557430534004
65,-0.0205716952012406
66,-0.0202637848471746
67,-0.0183345306479525
68,-0.0166874994633885
69,-0.015750878239099
70,-0.0146031991194352
71,-0.0125370608757985
72,-0.00987199904147748
73,-0.00736204211402743
74,-0.00540764825098641
75,-0.00397527996375986
76,-0.00285167305370321
77,-0.00178684958881728
78,-0.000716314606973288
79,9.45129192409742E-06
80,3.29449704457015E-05
81,-8.71663336844083E-05
82,0.00116451913214771
83,0.00470698943817915
84,0.00934573809533761
85,0.0124799609953803
86,0.0126028604846032
87,0.0107119313209689
88,0.00899214468694904
89,0.00847153093891271
90,0.00834237173666205
91,0.00730298423641103
92,0.00501047129169883
93,0.00218643893737204
94,-0.000247898335685356
95,-0.00191535883168429
96,-0.00309237226104921
97,-0.00425393811210991
98,-0.00543975412953496
99,-0.00614351171054859
100,-0.00613280708589655
101,-0.00635371693965729
102,-0.00843654973659965
103,-0.0128404628889383
104,-0.017787520114302
105,-0.0206545564028183
106,-0.0204705454999914
107,-0.0186003461041199
108,-0.016924553563701
109,-0.0158992616122571
110,-0.0146768704200408
111,-0.0126012092719446
112,-0.00997313504808546
113,-0.00750336421912314
114,-0.00559810079586943
115,-0.00425693588742096
116,-0.00323253767505529
117,-0.00216604103242529
118,-0.000941532499742753
119,-1.97647343567412E-05
120,6.22164055323473E-05
121,-0.000182896356801333
122,0.000910395696927407
123,0.0044422956423859
124,0.00923872639031066
125,0.0125642081856495
126,0.0127914311446661
127,0.0109202329611896
128,0.00919988172007165
129,0.00867644024947705
130,0.00850787260817339
131,0.00738253044944539
132,0.00500380686992299
133,0.00214241319167684
134,-0.000286786322621225
135,-0.00195740830245499
136,-0.00318543258908221
137,-0.00443555228548988
138,-0.00569344214670308
139,-0.00639449835500712
140,-0.00629090148006007
141,-0.00637341878312732
142,-0.00833948167619715
143,-0.0126795110745678
144,-0.0176000616137324
145,-0.020460924068126
146,-0.020301119957193
147,-0.0184896236112305
148,-0.0168736206555123
149,-0.0158706647625601
150,-0.0146404539757897
151,-0.0125603446297461
152,-0.00992811441857544
153,-0.00741965437016055
154,-0.00545029583303106
155,-0.00409076485709187
156,-0.00313347091709149
157,-0.00215865920136594
158,-0.000966076308018547
159,-3.12151240876361E-05
160,1.72925058140683E-05
161,-0.000330423106803742
162,0.000689660007231963
163,0.00426813802711367
164,0.00918511500053369
165,0.0125821406341596
166,0.0127910256277287
167,0.0108895118022935
168,0.00920608645240312
169,0.00877594943787881
170,0.00870106552795004
171,0.00764421943992801
172,0.00530562089897013
173,0.00243554410961871
174,-5.89107513616527E-05
175,-0.00179649872046122
176,-0.00302027330677511
177,-0.00420811186958241
178,-0.00544285137197361
179,-0.00620689421249337
180,-0.00617043060030976
181,-0.00622173492477031
182,-0.00808955463172616
183,-0.012402240704841
184,-0.0174277719608904
185,-0.0204237651363209
186,-0.0202964628756601
187,-0.0184217117880991
188,-0.016772491663603
189,-0.0158425818171466
190,-0.0147359027589966
191,-0.012735204785315
192,-0.0101148239548563
193,-0.00757658554472387
194,-0.00553276538935289
195,-0.00403898162491748
196,-0.002944169024281
197,-0.00193681105634542
198,-0.000835001203181456
199,1.47444077106689E-05
200,0.000103060259321879
201,-0.000150884452874888
202,0.000826179296880108
203,0.00417942046247037
204,0.00888636964250594
205,0.0122927596965944
206,0.0126741456564039
207,0.0108646604872852
208,0.00908350262533009
209,0.00852049975838756
210,0.00846701013476434
211,0.00755639761896506
212,0.00530568252663516
213,0.00238469440078282
214,-0.000202515265942526
215,-0.00197403103346305
216,-0.00320203563549904
217,-0.00443768796724853
218,-0.00574849725543061
219,-0.00653725991120977
220,-0.0064461699911558
221,-0.00640878217091548
222,-0.00819799734875824
223,-0.0124539389407265
224,-0.0174601971530372
225,-0.0204957749640827
226,-0.0204427308014604
227,-0.0186056993305563
228,-0.0169208866037734
229,-0.0159321068185192
230,-0.0148257527541561
231,-0.0129111706056979
232,-0.0104180398869834
233,-0.00798142543772999
234,-0.00596995099199509
235,-0.00443832043471253
236,-0.0032784643686406
237,-0.00223187284159675
238,-0.00112047715263821
239,-0.000237495025359969
240,-5.72724654593085E-05
241,-0.00020782714500795
242,0.000805049623938572
243,0.00411609983217616
244,0.00876890699672971
245,0.0121622779417104
246,0.0125607070555689
247,0.0107664607569864
248,0.00899006866373868
249,0.00841957229005436
250,0.00834242741261712
251,0.00742523488918116
252,0.00525735099804079
253,0.00252586413201729
254,0.000130444318902175
255,-0.00158357054543708
256,-0.00290616361253584
257,-0.00428294946044548
258,-0.00569201952207069
259,-0.00653905274371405
260,-0.00648293164909208
261,-0.00641697465711426
262,-0.0080877143307056
263,-0.0122162424391868
264,-0.0172129743962463
265,-0.0203743591076049
266,-0.0204598240424852
267,-0.0186495850289767
268,-0.0168751484692513
269,-0.0157591139269096
270,-0.0145416227125435
271,-0.0125295549702172
272,-0.00995008427289677
273,-0.00747496975863812
274,-0.00551535849485305
275,-0.00411661181351575
276,-0.00309468507967845
277,-0.00210130333022716
278,-0.000936337246513697
279,3.35209469731899E-05
280,0.000237477339481677
281,3.21810896891466E-05
282,0.000983416404759453
283,0.00428443163589699
284,0.0089616390744007
285,0.012384951715715
286,0.0128514100608216
287,0.0111976155817962
288,0.00956164257930931
289,0.00899949807479613
290,0.00878859656926796
291,0.00775402023198742
292,0.00561200170436531
293,0.00296353004225573
294,0.000526381095486627
295,-0.00135897538271461
296,-0.00277884835458481
297,-0.00404549423320394
298,-0.00527599630925136
299,-0.00611116203913718
300,-0.00622220558871095
301,-0.0062807481056813
302,-0.00789698030701285
303,-0.0119408219939101
304,-0.0170462560016298
305,-0.0204769453544974
306,-0.0207251275588362
307,-0.0188310147048694
308,-0.0169180404023964
309,-0.0158885299476716
310,-0.0149820882989254
311,-0.01322649896267
312,-0.0106409105087234
313,-0.00797199958657943
314,-0.00581453591858608
315,-0.00425557192193194
316,-0.00305236807645168
317,-0.00190286483435212
318,-0.000746954532127162
319,4.50555204640967E-05
320,9.9015886011083E-05
321,-7.98790505879903E-05
322,0.00097055725793443
323,0.00424137427366916
324,0.00874686989380249
325,0.0120336184020167
326,0.0124991395580955
327,0.0108877748557991
328,0.00923831404080779
329,0.0086659981141257
330,0.00855100846037531
331,0.00767295855762283
332,0.00560437223427863
333,0.00291844901829477
334,0.000460629740652452
335,-0.00134379875822207
336,-0.0026733032612862
337,-0.00398006776785535
338,-0.00536599919292856
339,-0.00630967996925611
340,-0.00636888146457907
341,-0.00626863444254079
342,-0.00774667566162847
343,-0.0117199272990375
344,-0.0167712894011004
345,-0.0201297111648779
346,-0.0203409819815399
347,-0.0185116501147459
348,-0.0167250605854686
349,-0.0157501923362133
350,-0.0147542948978628
351,-0.0128532475807278
352,-0.010217429771204
353,-0.00763282522001193
354,-0.00559973763709803
355,-0.00412359929875976
356,-0.00298372426446427
357,-0.00191997250319174
358,-0.000836320478646077
359,-5.3948624741581E-05
360,-3.73364924376494E-06
361,-0.000289730310664541
362,0.000574220677018097
363,0.0037695376634121
364,0.00845160074052299
365,0.0120671242104884
366,0.0127711705155085
367,0.0111903063452584
368,0.00946379815142647
369,0.00885439737880338
370,0.00875420420894571
371,0.00785081279504684
372,0.00568131735806577
373,0.00289584354415875
374,0.000424312726009442
375,-0.00131846063163934
376,-0.00258369031492413
377,-0.00385337970035982
378,-0.00519184579861381
379,-0.0060552185847675
380,-0.00605579837998002
381,-0.00598888527395694
382,-0.00757237351351154
383,-0.0116246230304995
384,-0.0166841318003867
385,-0.0200560136163644
386,-0.0203654183851318
387,-0.0186584755453923
388,-0.0168802869015152
389,-0.0157932396311347
390,-0.0147355694813567
391,-0.0129458797676707
392,-0.0104757971499099
393,-0.00789352667782396
394,-0.00568815054786934
395,-0.00409049769203613
396,-0.00303158202359171
397,-0.00211064538343916
398,-0.00098798477965997
399,3.17774348369902E-05
400,0.000297909245086149
401,5.07033787306737E-05
402,0.000853979081187327
403,0.00403162980158988
404,0.00873664124068036
405,0.0123231658865737
406,0.0129453936326988
407,0.0113160520906179
408,0.00958693997227104
409,0.00893790024242668
410,0.0087489151742731
411,0.00782583978054071
412,0.00576856593046003
413,0.00308727348654693
414,0.00053407796286471
415,-0.00142133411466255
416,-0.00278526237464961
417,-0.00394123264382605
418,-0.00515378992149456
419,-0.0061012722750802
420,-0.00631488583635221
421,-0.0063029102335812
422,-0.00768203252287974
423,-0.0114851964141227
424,-0.0164770414305831
425,-0.0199165678261086
426,-0.0202481260234684
427,-0.0185140964531712
428,-0.0168217091699655
429,-0.0159538280732638
430,-0.0150332289367484
431,-0.0131501411329218
432,-0.0105187600201298
433,-0.00796490641403117
434,-0.00595550316696354
435,-0.00445087282331696
436,-0.00325783275631751
437,-0.00216094777906235
438,-0.00101646667857798
439,-6.10409155358403E-05
440,0.0002137852400931
441,-1.0400850360962E-05
442,0.000643173915549226
443,0.00354476755981474
444,0.00815229515541362
445,0.0119657572297971
446,0.0128827221806729
447,0.0112876485909993
448,0.0093741037700257
449,0.00864501165789597
450,0.00861226439546741
451,0.00786896262742794
452,0.00581543367749071
453,0.00306684825291941
454,0.000576282073714865
455,-0.00124167117989967
456,-0.00263339891804667
457,-0.00402035729469913
458,-0.00539991016164124
459,-0.00623281160182767
460,-0.00618364999254674
461,-0.00606725277787188
462,-0.00759246141880121
463,-0.0116093401597925
464,-0.0167173905064484
465,-0.0202109875349416
466,-0.0206120584028935
467,-0.018892869662689
468,-0.0170460106921261
469,-0.0159226185223521
470,-0.014863726572209
471,-0.0130471387811758
472,-0.01052386753997
473,-0.00793295492079023
474,-0.00578371954613052
475,-0.00422757134183569
476,-0.00312726340812515
477,-0.0021143348524824
478,-0.000911696994010536
479,0.000169315341136576
480,0.000464705462554666
481,0.000116988504938041
482,0.000629731300714607
483,0.00349096364058129
484,0.00814294192934991
485,0.011997400108631
486,0.012906993585647
487,0.0112761774673253
488,0.00933719863465138
489,0.00862418497000051
490,0.00866483285520586
491,0.00802445009376509
492,0.0060224421973229
493,0.00320945242572932
494,0.000583897855023642
495,-0.00129941669609286
496,-0.002599067216983
497,-0.00382292614034667
498,-0.00515859945455862
499,-0.00614236823995079
500,-0.00627886254041893
501,-0.00613680402445049
502,-0.00737676692733409
503,-0.0110853356150303
504,-0.0161398777443489
505,-0.0198478842589994
506,-0.0204801053611308
507,-0.0187994571638295
508,-0.016858279036362
509,-0.0157154517321912
510,-0.0147895607898251
511,-0.0131405688182254
512,-0.0106946369889856
513,-0.00810419010044111
514,-0.00595274572293313
515,-0.00439597089649617
516,-0.003257404297009
517,-0.00219610570804433
518,-0.00101454416192575
519,-2.75568607298396E-05
520,0.000204263784165567
521,-9.96005211393466E-05
522,0.000509527195368083
523,0.00341461219169872
524,0.00805351757492309
525,0.0119319317753378
526,0.0129421867013941
527,0.0113937329858879
528,0.00940246075095026
529,0.00852559213009834
530,0.00844386555132399
531,0.00782831637590993
532,0.00593307318530878
533,0.00315680759389935
534,0.000446307734103857
535,-0.00153744153818626
536,-0.00282584085950036
537,-0.00393238824408558
538,-0.00516091976330815
539,-0.00611922405885095
540,-0.0062606653202697
541,-0.00607599940058927
542,-0.00724553107412387
543,-0.0109488313647145
544,-0.0160953276363581
545,-0.0199135431219512
546,-0.0205903123666014
547,-0.0189081952478192
548,-0.016997756019921
549,-0.0159227817080052
550,-0.0150093246740306
551,-0.0132534681977076
552,-0.0106518225260944
553,-0.00799579614093646
554,-0.00591965945901043
555,-0.00449126033529682
556,-0.00341639331312038
557,-0.00232885019394378
558,-0.00109667484489838
559,-9.91634399914547E-05
560,9.76251959319087E-05
561,-0.000253750126875933
562,0.000324128960740052
563,0.00322255524065231
564,0.00787244619850907
565,0.0117692970171095
566,0.0128069528332668
567,0.0113071530155178
568,0.00937930337821665
569,0.00853529095098295
570,0.00841937414074661
571,0.00774693301502423
572,0.00587150147506584
573,0.003214957374865
574,0.000606783318781413
575,-0.00142056572726697
576,-0.00286320863450271
577,-0.0040652102635535
578,-0.00524593559758004
579,-0.00612071908192646
580,-0.00627724433822917
581,-0.00616274421330714
582,-0.00729705523921698
583,-0.0108311947306624
584,-0.0158511132113978
585,-0.0197412257022569
586,-0.0206043796936363
587,-0.0189937939042808
588,-0.0169519606397412
589,-0.0156990137447299
590,-0.0147623802112457
591,-0.0131516324446077
592,-0.010698128310421
593,-0.00805070558538927
594,-0.0058605671670292
595,-0.00432052045043266
596,-0.00323316555676432
597,-0.00222899436658433
598,-0.00109933641018014
599,-0.000145512409758011
600,8.48878828455056E-05
601,-0.00021133638885952
602,0.000362219574768324
603,0.00317164558890055
604,0.00771034400041416
