T,AI2_filter1
0,-1.31805876321408E-21
1,-9.29591972053373E-07
2,-8.64870819601319E-07
3,1.30421068792259E-06
4,2.36854267072431E-06
5,-7.37937268962169E-07
6,-3.72221975812764E-06
7,2.21276780985717E-07
8,6.60271373055776E-06
9,3.12168132155866E-06
10,-7.71011243986082E-06
11,-6.69164426287076E-06
12,9.41561890769413E-06
13,1.5127386718953E-05
14,-4.63823993701598E-06
15,-2.03637602491708E-05
16,-1.47148965939089E-08
17,2.89729684493331E-05
18,1.29228604490711E-05
19,-3.14039846563634E-05
20,-2.74410983133195E-05
21,3.11527278179586E-05
22,4.76767086484346E-05
23,-2.14432481047544E-05
24,-6.82595656541753E-05
25,2.55329211748548E-06
26,8.79921965127429E-05
27,2.86177406736817E-05
28,-0.00010217521263972
29,-7.29155852367165E-05
30,0.000106743783397418
31,0.000132288396933394
32,-9.69916876340474E-05
33,-0.000213362615749833
34,6.42714161122444E-05
35,0.000331486728392201
36,-2.03068912853503E-07
37,-0.000576259862218198
38,-0.00014459107616072
39,0.00179553570130359
40,0.00383212781364565
41,0.00387842435418384
42,0.00155530807134172
43,-0.00136689701428351
44,-0.00313388698523463
45,-0.00391106206922425
46,-0.00494286200660984
47,-0.00638652069544852
48,-0.00710740771334583
49,-0.00678990041724271
50,-0.00716576962645075
51,-0.0102013231358154
52,-0.0153916217845187
53,-0.0198114184309519
54,-0.0210735759209752
55,-0.0195941437220541
56,-0.0175934309282274
57,-0.016437765233121
58,-0.0156134496148477
59,-0.014036686966856
60,-0.0115409696150577
61,-0.00883728820105358
62,-0.00658619781927136
63,-0.00494760813732018
64,-0.00375401635423597
65,-0.00270884232982337
66,-0.00156893729865802
67,-0.000495993791701686
68,-4.79822755800771E-05
69,-0.000313910651079197
70,-0.000127605086510146
71,0.00212417532998605
72,0.00650888644064407
73,0.0108481470732073
74,0.0126392460675986
75,0.0115699258595289
76,0.00961879101944817
77,0.00869263311039759
78,0.0087226479144865
79,0.00825523765479138
80,0.0063724010389683
81,0.00355633535622246
82,0.00091014460416334
83,-0.000970579256618235
84,-0.00230959268492964
85,-0.00365815152730661
86,-0.00519161186479515
87,-0.00640955177859769
88,-0.00669186187858008
89,-0.00639239750312924
90,-0.00712876165036089
91,-0.0103514263441181
92,-0.0154412421303877
93,-0.0197635525801048
94,-0.0210760180566142
95,-0.019641083022781
96,-0.0175776619861714
97,-0.0163874168300176
98,-0.0156903169574688
99,-0.0143079137649156
100,-0.0118716118707173
101,-0.00903699243701154
102,-0.00660790917107439
103,-0.00492194410382357
104,-0.00385115829474966
105,-0.00297426947391576
106,-0.00189054365492535
107,-0.00073974450579114
108,-0.000214215168542394
109,-0.000514910442733758
110,-0.000402683633396786
111,0.00190169622070248
112,0.00648032860547916
113,0.0109685893480252
114,0.0127139017263604
115,0.0114840415786176
116,0.00945209781308365
117,0.00858689218213501
118,0.00871319069921943
119,0.00828002947925479
120,0.0063859748132173
121,0.00355963575423392
122,0.000898088361883992
123,-0.00100332946065478
124,-0.00231051098282835
125,-0.00354238711287262
126,-0.00495930475249321
127,-0.00618040812828291
128,-0.00656994583880915
129,-0.00632668058216258
130,-0.00696496634929967
131,-0.0100168763200846
132,-0.0150290959507408
133,-0.0194277094581963
134,-0.0208881944282864
135,-0.0195687757130771
136,-0.017552510096939
137,-0.0163454418242489
138,-0.0155712759686732
139,-0.0140850002703189
140,-0.0116025658268592
141,-0.00883480895535292
142,-0.00651648035453566
143,-0.00484610269845182
144,-0.00366409405185604
145,-0.00268873387993586
146,-0.00165719374698868
147,-0.000643196771257335
148,-0.000130411181338157
149,-0.000251709394111362
150,2.77422190146901E-05
151,0.00224027172707307
152,0.00649801112171288
153,0.0107310970193714
154,0.0125015745356761
155,0.011475509902463
156,0.00956966983212387
157,0.00866747631168445
158,0.0087415358213835
159,0.00837853436516428
160,0.0066139415331058
161,0.00381730440882697
162,0.00105221959270457
163,-0.000966357047023488
164,-0.0023091591589615
165,-0.00354176677471354
166,-0.0050160909825422
167,-0.00633087025062534
168,-0.00673002155862371
169,-0.00636159585592164
170,-0.00685309395858396
171,-0.00989342303237038
172,-0.0150422669946378
173,-0.0195830383292317
174,-0.0210718216359604
175,-0.0197014799790274
176,-0.0176592921910995
177,-0.0164638571371764
178,-0.0156621470469625
179,-0.0140941762667175
180,-0.0115759416850651
181,-0.00889158941884567
182,-0.00669945229480899
183,-0.00506143315232219
184,-0.00379163815217195
185,-0.00269264101668156
186,-0.00155330243299565
187,-0.000428457701889924
188,0.00016995081819452
189,-1.37589136864988E-06
190,6.27065730031953E-05
191,0.00206685464661737
192,0.00633943822724669
193,0.0108058919885699
194,0.0127979089317499
195,0.0117989153403688
196,0.00978083306784039
197,0.00879906447372207
198,0.00889044673677875
199,0.00856512896446312
200,0.00677974732317586
201,0.00390685392843965
202,0.00105513952189967
203,-0.00101603362231898
204,-0.00232985997270678
205,-0.00343436997946885
206,-0.00476202383343383
207,-0.00605926634662108
208,-0.00662486822703712
209,-0.0064746655517132
210,-0.00704633441158415
211,-0.00999491633433193
212,-0.0150248862899777
213,-0.0195490082003469
214,-0.0210873803825785
215,-0.0197143581061932
216,-0.0175956426218628
217,-0.0163521166885412
218,-0.0156091108352741
219,-0.0141520587261059
220,-0.0116818736850393
221,-0.00895147335727534
222,-0.00669428175161032
223,-0.00504500469320286
224,-0.00381173468945518
225,-0.00275934449238617
226,-0.00167702482125227
227,-0.000631703860549614
228,-9.18181011033523E-05
229,-0.000235775833269602
230,-8.60184531932671E-05
231,0.00193553273516984
232,0.00609580485591278
233,0.0104467616353399
234,0.0125044891481612
235,0.0117465573199559
236,0.00991902064343366
237,0.00889453523608719
238,0.00879409226064408
239,0.00837139779589633
240,0.00669011961332424
241,0.0039857246957175
242,0.00117171742120408
243,-0.00103057386924988
244,-0.00252635985503817
245,-0.00374131768134059
246,-0.00507465087475421
247,-0.00629749480870451
248,-0.00673191565054973
249,-0.00640560300526674
250,-0.00678285582912803
251,-0.0095799201770304
252,-0.0145816241377611
253,-0.0192377422974415
254,-0.0209980350218462
255,-0.019787378891353
256,-0.017679452995173
257,-0.0163588036669096
258,-0.0155886572739518
259,-0.0141895910661119
260,-0.0117538165021406
261,-0.0089340142772773
262,-0.00651291142236251
263,-0.0047669928797771
264,-0.00357289658433258
265,-0.00263260998930295
266,-0.00163540197858716
267,-0.000610955816947191
268,-5.51592264914168E-05
269,-0.000186152550666583
270,-4.40080536823742E-05
271,0.00196402219926627
272,0.00614058891641124
273,0.0105482751524127
274,0.0126481241138421
