T,AI2_filter1
0,4.02354780349562E-21
1,2.83770180942609E-06
2,3.4976226312865E-06
3,-1.83863311990377E-06
4,-5.44780993353167E-06
5,1.93339560984559E-06
6,1.05719980791227E-05
7,1.99141342650835E-06
8,-1.47454458601616E-05
9,-8.48359171398255E-06
10,1.83878261500296E-05
11,1.92533161974303E-05
12,-1.85447934199658E-05
13,-3.36725735815821E-05
14,1.27997231529718E-05
15,5.02634289955569E-05
16,1.19014495444312E-06
17,-6.73423160051823E-05
18,-2.78926683820582E-05
19,7.66719406692495E-05
20,6.33584059838214E-05
21,-7.72185524938714E-05
22,-0.000110594360146739
23,5.82590787755935E-05
24,0.000161915667415627
25,-1.68036129528358E-05
26,-0.000213489976471356
27,-5.47963867607168E-05
28,0.000255341337116852
29,0.000162069839810073
30,-0.000275648991821036
31,-0.000311339462740469
32,0.000261796262627233
33,0.00052180250041117
34,-0.000189684953456805
35,-0.000845117294302748
36,1.41191572153168E-05
37,0.00152263390231132
38,0.00045353656951867
39,-0.0050311101429355
40,-0.0124012923281261
41,-0.0168659168765531
42,-0.0163178019363371
43,-0.0130055678647618
44,-0.0102215344727026
45,-0.00873059602691987
46,-0.00723341789449806
47,-0.00513770778130583
48,-0.00329195536470482
49,-0.00224784636885989
50,-0.00138417544184172
51,-0.000259035184580429
52,0.000392386313193921
53,9.11090976788611E-06
54,-0.000146639476679427
55,0.00200988964853286
56,0.00665256115790783
57,0.011297339768855
58,0.0132571902277644
59,0.0122839980470678
60,0.0103182899086311
61,0.00909225406907326
62,0.0086273287954086
63,0.00789895568993963
64,0.00623604750392898
65,0.00382669045579515
66,0.00130960286753389
67,-0.000769609287094959
68,-0.00227804948493214
69,-0.00350779546899425
70,-0.00474739074211949
71,-0.0057504644869895
72,-0.00597450694606011
73,-0.0056631265976931
74,-0.00632815155146483
75,-0.00943411307340162
76,-0.0144667991241351
77,-0.0188949569842136
78,-0.020470412428225
79,-0.0192869426805629
80,-0.0172320511949015
81,-0.0157410142737189
82,-0.0146524931351836
83,-0.0131155263272809
84,-0.0109006772666653
85,-0.00849899082154796
86,-0.00640898882643197
87,-0.00477118002747057
88,-0.00348634492464095
89,-0.00233396967479853
90,-0.00112968963759941
91,-8.06727043442348E-05
92,0.000256146839569099
93,-0.000125648789226833
94,4.74162422096104E-05
95,0.00240187304614719
96,0.00690953835558079
97,0.0113201177783991
98,0.0131657996723385
99,0.0121606471389142
100,0.0101710399387382
101,0.00897385085762682
102,0.00860377041713149
103,0.00793253169503152
104,0.00624056263088697
