T,AI2_filter1
0,6.24343624680355E-22
1,4.40333039393703E-07
2,7.39281669181877E-07
3,2.71783114158256E-07
4,-4.86289985868851E-07
5,-1.25264949547064E-08
6,1.47160335850837E-06
7,1.50640824490896E-06
8,-1.7180457289171E-07
9,1.64587022493453E-07
10,2.77023216797373E-06
11,2.44149175846808E-06
12,-1.40211893339367E-06
13,-1.928672454308E-06
14,3.22321042746777E-06
15,5.24048349894792E-06
16,-1.8027611746188E-06
17,-7.04965729405235E-06
18,9.90669971960182E-07
19,1.06504618888989E-05
20,2.52191611068929E-06
21,-1.34377351678196E-05
22,-7.83416949873163E-06
23,1.52439277069478E-05
24,1.57333506071403E-05
25,-1.4593514136793E-05
26,-2.60239545020743E-05
27,9.52629142254318E-06
28,3.71677104081564E-05
29,-9.0103400072815E-08
30,-5.06178032119834E-05
31,-2.05685585054453E-05
32,5.87773427114055E-05
33,5.15932207693088E-05
34,-6.08262356915652E-05
35,-0.000105104312527688
36,4.10767626091896E-05
37,0.00020858171735655
38,4.04099010997333E-05
39,-0.00071597734793211
40,-0.00207214072823586
41,-0.00378609070670359
42,-0.00530398765080114
43,-0.00593679040846215
44,-0.00560076357018416
45,-0.00547899012043342
46,-0.00737251270317388
47,-0.011822966233215
48,-0.0170272514697948
49,-0.0201908971423185
50,-0.0201213851865167
51,-0.0181375654697475
52,-0.0163226751598916
53,-0.0153430751663898
54,-0.0143005832252909
55,-0.0123111687573084
56,-0.00959872503052795
57,-0.00704875550418
58,-0.0052187732632772
59,-0.00399697813318941
60,-0.00292064716926825
61,-0.0016394813341427
62,-0.000289371831689771
63,0.000497026516104504
64,0.000311184564584362
65,-7.85990906270968E-05
66,0.00105470765406795
67,0.00463122104782054
68,0.00932456653405781
69,0.0124999082878791
70,0.0127740474754935
71,0.0112199495364846
72,0.0098539588032679
73,0.0094177615117414
74,0.00904752014474375
75,0.00773514520409251
76,0.00546059838721044
77,0.00290877030938262
78,0.000653624491334297
79,-0.00115236064763468
80,-0.00263754628518845
81,-0.00399420091486325
82,-0.00519290773378874
83,-0.00584189025285706
84,-0.00572814611355603
85,-0.00569223928268594
86,-0.0074109110349813
87,-0.0116329480431902
88,-0.0167825380557195
89,-0.0200459938395017
90,-0.0200735318536295
91,-0.0181242788261651
92,-0.0163273468864121
93,-0.0153583451234214
94,-0.0142879874152474
95,-0.0122799166338149
96,-0.00966218176217118
97,-0.00730473302571406
98,-0.00559609483919632
99,-0.00431412477620714
100,-0.00310783118122422
101,-0.00182161143525957
102,-0.000612858348066321
103,5.0785646363566E-05
104,-0.000123376996702442
105,-0.000443772302378447
106,0.000686414057469707
107,0.0042053153025979
108,0.00892634257353099
109,0.0122682688861913
110,0.0127217162109383
111,0.0111986866951274
112,0.00971338100713694
113,0.00916083952664302
114,0.00879955541331326
115,0.00757928066142813
116,0.00534430954548013
117,0.00272434906245216
118,0.000386251849197454
119,-0.00139162736340887
120,-0.00273404381437888
121,-0.00396282328308261
122,-0.00516570486470403
123,-0.00592729678140938
124,-0.00590061684766233
125,-0.00582562043036807
126,-0.00740547789737278
127,-0.0115011486323577
128,-0.0166240868459769
129,-0.0199566004942171
130,-0.0200734278181204
131,-0.0181577545387389
132,-0.0163274772724246
133,-0.0153217875536236
134,-0.0142858142590636
135,-0.0123784991336214
136,-0.00983011432629768
137,-0.00742112360465597
138,-0.00557362541257011
139,-0.00420278520069383
140,-0.00304432894565587
141,-0.00186664779109705
142,-0.000667485840078148
143,0.0001395311593523
144,0.00013735569013456
145,-0.000146006344648939
146,0.000869163817926829
147,0.00425804039496488
148,0.00895537019352052
149,0.0123562756057491
150,0.012844186331453
151,0.0112888251560353
152,0.00976080424246592
153,0.00920662178026728
154,0.00885704729236205
155,0.00761292064443325
156,0.00533626146833785
157,0.00271983278104803
158,0.000439859934044397
159,-0.00129440880354638
160,-0.00267187367494576
161,-0.00399691564278033
162,-0.00528405176198701
163,-0.00606523791582369
164,-0.00599354386004847
165,-0.00584424705761354
166,-0.00737145910483834
167,-0.0114832669791326
168,-0.0166958365844788
169,-0.0201322380199643
170,-0.0202926962086316
171,-0.0183477244416057
172,-0.0164663293932899
173,-0.0154218977128029
174,-0.0143303859332049
175,-0.012317107994377
176,-0.00964749415413738
177,-0.00717843850656178
178,-0.00535608502740379
179,-0.00404178633389178
180,-0.00291277757933541
181,-0.0017374569119469
182,-0.000544951961041836
183,0.00024447029809657
184,0.000232318573810879
185,-4.75479994228336E-05
186,0.000975130712628368
187,0.00438164008483004
188,0.00912597095187476
189,0.0125918477486174
190,0.0131079662931743
191,0.0114987192661582
192,0.00985686445378433
193,0.0092095299641827
194,0.00886148398689671
195,0.00772365316474299
196,0.00559456645520242
197,0.00306699549074659
198,0.000752368358210717
199,-0.00110594774492818
200,-0.00257670090042858
201,-0.00387006891281543
202,-0.0050383018607548
203,-0.0057503288219764
204,-0.00574310076380421
205,-0.005728119023622
206,-0.00732651653990205
207,-0.0113920959556145
208,-0.0165000754904631
209,-0.0198523854847595
210,-0.0199760093483008
211,-0.0180467566334855
212,-0.0162572518678456
213,-0.0153779767375919
214,-0.0144373051103713
215,-0.0124433209533749
216,-0.00964717169109587
217,-0.007027103453081
218,-0.00515775631225538
219,-0.00389965940232202
220,-0.00282378306025715
221,-0.00162895886671565
222,-0.000390171698909938
223,0.000381260037263839
224,0.000266144040361322
225,-0.000126102045146472
226,0.000867664721322606
227,0.00434710286942178
228,0.00919124861990809
229,0.0126855099450165
230,0.0131361542607436
231,0.0114538541372187
232,0.00983808295217473
233,0.00931128652494792
234,0.00904496425017756
235,0.00783259791946549
236,0.00551741399632263
237,0.00285724272665949
238,0.000557729035704497
239,-0.00121334722933116
240,-0.00265410132778042
241,-0.00398928242732948
242,-0.00517679969010182
243,-0.00583328333575647
244,-0.00575387979246139
245,-0.00571772860047264
246,-0.00732477658419461
247,-0.0113786358711346
248,-0.0164864427370528
249,-0.0199295420882885
250,-0.0202180662646499
251,-0.0183902465333116
252,-0.0165432812960138
253,-0.0155253860197501
254,-0.0145262054297021
255,-0.012609425435163
256,-0.00993732062982948
257,-0.00739172067797275
258,-0.00554381028802347
259,-0.00429437482619606
260,-0.00321512229815957
261,-0.00197906532521512
262,-0.00066470511901659
263,0.000186494676211614
264,0.000135348913193168
265,-0.000228725414094367
266,0.00071663705325789
267,0.0040610420965306
268,0.00877393068083872
269,0.0122756448788088
270,0.0128925631683413
271,0.0113841019678224
272,0.00978143509682142
273,0.00911041260669523
274,0.00870764900191525
275,0.00750715514667094
276,0.00533805476664305
277,0.0028445050284131
278,0.000652563633910528
279,-0.00107047875906433
280,-0.002501585208776
281,-0.0038717373058036
282,-0.00514371278913278
283,-0.00588603932932507
284,-0.00581314601865523
285,-0.00568359758701759
286,-0.00718633104327016
287,-0.0112369017765384
288,-0.0164361685902491
289,-0.0199318201804287
290,-0.0201355487902352
291,-0.0181582971664165
292,-0.0162613933251733
293,-0.0153463270633932
294,-0.0144853482584768
295,-0.0126065479742999
296,-0.00986980741874729
297,-0.00725013875857819
298,-0.0053703708465973
299,-0.00410138371976177
300,-0.00298177676257241
301,-0.0017046119612497
302,-0.000390415004652175
303,0.000406945918918002
304,0.000274673074396146
305,-0.000148897269182611
306,0.000803219924854361
307,0.0042167214377597
308,0.00898492786840198
309,0.012440329359523
310,0.0129124333454423
311,0.0112690252612786
312,0.00964386922517152
313,0.00905681574615363
314,0.00875595493465063
315,0.0076049774887272
316,0.00542572928810619
317,0.00288654645935428
318,0.00063633879816976
319,-0.00113873370997485
320,-0.00260349035655079
321,-0.0039953387615974
322,-0.0052923537728998
323,-0.0060626819675844
324,-0.00600191673354154
325,-0.0058526968440819
326,-0.00730623149151104
327,-0.0113027683437542
328,-0.0164900943479751
329,-0.0200553303034544
330,-0.0203823034597025
331,-0.018478613897423
332,-0.0165301917681818
333,-0.0154976098426536
334,-0.0145923389639579
335,-0.0127893891733867
336,-0.0101468824469635
337,-0.0075341272670225
338,-0.00560005099790674
339,-0.00431076086213465
340,-0.00322261536159193
341,-0.00196555723218844
342,-0.000632962788773629
343,0.000179604694330347
344,3.51724896063114E-05
345,-0.000397394770872994
346,0.000564846162776256
347,0.00397912494632934
348,0.00874108884738706
349,0.0122437278095177
350,0.0128305120145016
351,0.011272317624255
352,0.00962102120663855
353,0.00897354825089368
354,0.00872294848009463
355,0.00771838803280221
