T,AI2_filter1
0,1.24868724936071E-21
1,8.80666078787407E-07
2,1.33178565856585E-06
3,-1.59502665226471E-07
4,-1.09232427563653E-06
5,2.26139511824036E-06
6,5.32861650552551E-06
7,5.53206616016873E-07
8,-6.29368460087651E-06
9,-1.42207346931164E-06
10,1.05624432786159E-05
11,7.77452846189606E-06
12,-1.11678169369354E-05
13,-1.45297953088438E-05
14,1.07935326103446E-05
15,2.47558631382536E-05
16,-5.09641546197847E-06
17,-3.5214234518157E-05
18,-6.11003439745859E-06
19,4.45577379254029E-05
20,2.44627006513233E-05
21,-4.93535427945127E-05
22,-4.98650551362926E-05
23,4.56657127901293E-05
24,8.05020948954434E-05
25,-3.11039025631131E-05
26,-0.000116270821884687
27,-2.73848272743738E-06
28,0.000147986653978972
29,5.56165747695115E-05
30,-0.000173301297686386
31,-0.000136094563425046
32,0.000179757932436894
33,0.000248082346976504
34,-0.00015700977684067
35,-0.000411620019138262
36,8.06606042761114E-05
37,0.00070377061355447
38,0.000128142812081102
39,-0.00190057224964268
40,-0.00413429869938461
41,-0.0056822649748598
42,-0.00752368098731913
43,-0.0111665580087674
44,-0.0160787166752579
45,-0.0196345725154889
46,-0.0199748518309378
47,-0.0180366825050642
48,-0.016132446066622
49,-0.0151736124474982
50,-0.0141571191241649
51,-0.0120651763325377
52,-0.00925108583139
53,-0.00675804843254814
54,-0.00505610096170877
55,-0.00388885399089973
56,-0.00287574528867128
57,-0.00181612187757875
58,-0.000726435768815275
59,3.50221357162457E-05
60,3.92794900737999E-05
61,-0.000307864002943654
62,0.000527689861256498
63,0.00376902761073699
64,0.00850449763157614
65,0.0120552034686357
66,0.0125914001015177
67,0.0109299119401425
68,0.00931758659110839
69,0.008846205110847
70,0.00865934133872131
71,0.00747722621045024
72,0.00514897660847763
73,0.00252913490095936
74,0.000391904604111851
75,-0.00115292241006951
76,-0.00244298480509234
77,-0.00378018172010326
78,-0.00504897826903057
79,-0.00571785122592136
80,-0.00552738279370905
81,-0.00535957906462716
82,-0.00693766830977633
83,-0.0110360619004533
84,-0.0161181049675471
85,-0.0194173751399916
86,-0.0195709379849734
87,-0.0177310746456676
88,-0.01591354251579
89,-0.0148066260076728
90,-0.0136288284489443
91,-0.0116587651119623
92,-0.00915229072064014
93,-0.00679639183828555
94,-0.00493291595966581
95,-0.00352660527998065
96,-0.00243066200172367
97,-0.00143800158803841
98,-0.000440683132678904
99,0.000250315401720841
100,0.000206861482609155
101,-0.000110467568085659
102,0.000863704042834829
103,0.00423116703843014
104,0.00890380981967489
105,0.0122155043269147
106,0.0125688324572105
107,0.0109593195762565
108,0.00954010782019121
109,0.00916300803289858
110,0.00887244387326913
111,0.00750319820470505
112,0.00504655048019616
113,0.00237620884795958
114,0.000226638955571195
115,-0.00127807119563353
116,-0.00244606738747475
117,-0.00364193776869019
118,-0.00487465827748062
119,-0.00564921900207437
120,-0.00560456361030393
121,-0.00550762315402318
122,-0.00707247005669343
123,-0.0111306003349656
124,-0.0161583445168477
125,-0.0193611571972486
126,-0.0194029314381926
127,-0.0175320555996299
128,-0.0158182399286619
129,-0.0148830953493159
130,-0.0138239639954467
131,-0.0118627561681805
132,-0.00928928662320111
133,-0.0068550656277621
134,-0.0049520500196515
135,-0.00357619216781402
136,-0.0025712762513991
137,-0.00165433027205003
138,-0.000626518425864287
139,0.00019393433273338
